Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,234.899994,238.500000,234.100006,237.600006,231.248215,42006406
2019-03-05,236.000000,240.750000,234.500000,237.449997,231.102234,30848699
2019-03-06,238.100006,240.649994,232.949997,235.300003,229.009705,24658589
2019-03-07,235.500000,236.000000,228.649994,231.699997,225.505951,27229610
2019-03-08,231.699997,234.899994,229.500000,232.300003,226.089905,23233663
2019-03-11,233.000000,238.000000,231.600006,236.300003,229.982971,21189817
2019-03-12,238.000000,239.199997,235.000000,235.850006,229.544998,22100817
2019-03-13,236.000000,247.600006,232.699997,244.300003,237.769119,58883298
2019-03-14,248.000000,254.000000,246.149994,249.850006,243.170746,59684202
2019-03-15,251.699997,252.800003,243.500000,245.050003,238.499069,38715468
2019-03-18,247.000000,248.550003,241.800003,245.949997,239.375000,24825632
2019-03-19,246.649994,250.500000,245.000000,248.800003,242.148804,21448040
2019-03-20,248.750000,253.000000,246.399994,252.149994,245.409241,26817389
2019-03-22,253.000000,257.500000,250.350006,252.600006,245.847229,34018752
2019-03-25,250.000000,250.399994,246.100006,247.250000,240.640244,23540100
2019-03-26,247.500000,254.800003,247.449997,253.699997,246.917816,20571726
2019-03-27,258.399994,269.850006,256.100006,268.450012,261.273529,84155309
2019-03-28,270.649994,277.700012,268.299988,276.100006,268.718994,48078072
