date,close,volume,open,high,low
2018/10/16,270.49,4787699,264.5,273.88,262.24
2018/10/15,259.59,6189026,259.06,263.28,254.5367
2018/10/12,258.78,7189257,261,261.99,252.01
2018/10/11,252.23,8128184,257.53,262.25,249.03
2018/10/10,256.88,12781560,264.61,265.51,247.77
2018/10/09,262.8,12037780,255.25,266.77,253.3
2018/10/08,250.56,13371180,264.52,267.7599,249
2018/10/05,261.95,17900710,274.65,274.88,260
2018/10/04,281.83,9638885,293.95,294,277.67
2018/10/03,294.8,7982272,303.33,304.6,291.57
2018/10/02,301.02,11699690,313.95,316.84,299.15
2018/10/01,310.7,21714210,305.77,311.44,301.05
2018/09/28,264.77,33597290,270.26,278,260.555
2018/09/27,307.52,7337760,312.9,314.96,306.91
2018/09/26,309.58,7835863,301.91,313.89,301.1093
2018/09/25,300.99,4472287,300,304.6,296.5
2018/09/24,299.68,4834384,298.48,302.9993,293.58
2018/09/21,299.1,5038497,297.7,300.58,295.37
2018/09/20,298.33,7332477,303.56,305.98,293.33
2018/09/19,299.02,8264353,280.51,300,280.5
2018/09/18,284.96,16494280,296.69,302.64,275.5
2018/09/17,294.84,6866208,290.04,300.87,288.13
2018/09/14,295.2,6757652,288.76,297.3256,286.52
2018/09/13,289.46,6333281,288.02,295,285.18
2018/09/12,290.54,10002150,281.44,292.5,278.6463
2018/09/11,279.44,9161061,279.47,282,273.55
2018/09/10,285.5,14232250,273.26,286.03,271
2018/09/07,263.24,22442310,260.1,268.35,252.2548
2018/09/06,280.95,7472756,284.8,291.17,278.88
2018/09/05,280.74,7707342,285.05,286.78,277.18
2018/09/04,288.95,8304571,296.94,298.19,288
2018/08/31,301.66,5367048,302,305.3082,298.6
2018/08/30,303.15,7210625,302.26,304.6,297.72
2018/08/29,305.01,7410538,310.27,311.85,303.69
2018/08/28,311.86,7639453,318.41,318.88,311.19
2018/08/27,319.27,13062650,318,322.435,308.81
2018/08/24,322.82,3592734,320.7,323.85,319.4
2018/08/23,320.1,5138685,319.14,327.32,318.1
2018/08/22,321.64,5935853,320.87,323.88,314.67
2018/08/21,321.9,13147770,310.61,324.79,309
2018/08/20,308.44,17380430,291.704,308.5,288.2
2018/08/17,305.5,18895880,323.5,326.77,303.53
2018/08/16,335.45,6045392,339.91,342.28,333.82
2018/08/15,338.69,9073033,341.906,344.49,332.14
2018/08/14,347.64,6948511,358.45,359.1995,347.1
2018/08/13,356.41,10444920,361.13,363.19,349.02
2018/08/10,355.49,11530510,354,360,346
2018/08/09,352.45,16951800,365.55,367.01,345.73
2018/08/08,370.34,24535420,369.09,382.64,367.12
2018/08/07,379.57,30596400,343.84,387.46,339.1501
2018/08/06,341.99,8536766,345.46,354.98,341.82
2018/08/03,348.17,13646640,347.81,355,342.53
2018/08/02,349.54,23159160,328.44,349.99,323.16
2018/08/01,300.84,8768099,297.99,303,293
2018/07/31,298.14,5055094,292.25,298.32,289.07
2018/07/30,290.17,6799581,295.9,296.1,286.13
2018/07/27,297.18,5694690,307.25,307.6933,295.3404
2018/07/26,306.65,4619567,304.85,310.7,303.6411
2018/07/25,308.74,7031382,296.74,309.62,294.5025
2018/07/24,297.43,9586186,304.4209,307.7171,292.5452
